Window,Pattern,Target,Triggers,Wins,Balance,ROI,Stability
8,"[np.int64(17), np.int64(23), np.int64(27)]",0,151,15,299,198.01324503311258,7/9 (78%)
8,"[np.int64(6), np.int64(27), np.int64(36)]",28,101,10,199,197.02970297029702,6/8 (75%)
8,"[np.int64(8), np.int64(11), np.int64(20)]",14,113,11,217,192.0353982300885,6/9 (67%)
8,"[np.int64(27), np.int64(28), np.int64(33)]",24,156,15,294,188.46153846153845,6/9 (67%)
8,"[np.int64(15), np.int64(20), np.int64(25)]",22,126,12,234,185.71428571428572,8/9 (89%)
3,"[np.int64(20), np.int64(29)]",14,148,14,272,183.7837837837838,7/9 (78%)
8,"[np.int64(17), np.int64(26), np.int64(36)]",10,127,12,233,183.46456692913387,8/9 (89%)
8,"[np.int64(3), np.int64(16), np.int64(17)]",31,117,11,213,182.05128205128204,6/9 (67%)
3,"[np.int64(15), np.int64(17)]",24,128,12,232,181.25,7/10 (70%)
3,"[np.int64(12), np.int64(25)]",1,130,12,230,176.9230769230769,6/10 (60%)
8,"[np.int64(14), np.int64(17), np.int64(28)]",34,120,11,210,175.0,7/9 (78%)
8,"[np.int64(21), np.int64(27), np.int64(28)]",34,166,15,284,171.08433734939757,6/9 (67%)
8,"[np.int64(6), np.int64(11), np.int64(19)]",17,156,14,264,169.23076923076923,7/8 (88%)
8,"[np.int64(14), np.int64(18), np.int64(34)]",25,134,12,226,168.65671641791045,6/9 (67%)
8,"[np.int64(11), np.int64(19), np.int64(20)]",15,112,10,188,167.85714285714286,7/9 (78%)
3,"[np.int64(1), np.int64(35)]",15,135,12,225,166.66666666666669,7/9 (78%)
8,"[np.int64(4), np.int64(19), np.int64(28)]",30,135,12,225,166.66666666666669,8/9 (89%)
8,"[np.int64(15), np.int64(26), np.int64(30)]",22,158,14,262,165.82278481012656,8/9 (89%)
3,"[np.int64(22), np.int64(37)]",18,102,9,168,164.70588235294116,7/10 (70%)
8,"[np.int64(3), np.int64(30), np.int64(35)]",32,159,14,261,164.1509433962264,7/9 (78%)
3,"[np.int64(5), np.int64(12)]",30,114,10,186,163.1578947368421,7/9 (78%)
8,"[np.int64(9), np.int64(29), np.int64(36)]",4,103,9,167,162.1359223300971,6/10 (60%)
3,"[np.int64(6), np.int64(26)]",15,126,11,204,161.9047619047619,6/9 (67%)
8,"[np.int64(8), np.int64(25), np.int64(29)]",0,126,11,204,161.9047619047619,5/8 (62%)
3,"[np.int64(13), np.int64(23)]",9,115,10,185,160.8695652173913,6/10 (60%)
8,"[np.int64(3), np.int64(13), np.int64(23)]",19,161,14,259,160.8695652173913,8/10 (80%)
8,"[np.int64(25), np.int64(32), np.int64(33)]",21,138,12,222,160.8695652173913,8/9 (89%)
8,"[np.int64(6), np.int64(25), np.int64(27)]",1,184,16,296,160.8695652173913,8/10 (80%)
8,"[np.int64(3), np.int64(9), np.int64(10)]",1,150,13,240,160.0,8/9 (89%)
3,"[np.int64(4), np.int64(36)]",35,104,9,166,159.6153846153846,7/10 (70%)
8,"[np.int64(8), np.int64(9), np.int64(11)]",23,116,10,184,158.6206896551724,6/9 (67%)
8,"[np.int64(15), np.int64(25), np.int64(31)]",0,128,11,202,157.8125,8/9 (89%)
8,"[np.int64(1), np.int64(4), np.int64(27)]",23,163,14,257,157.66871165644173,6/9 (67%)
3,"[np.int64(8), np.int64(29)]",12,105,9,165,157.14285714285714,6/9 (67%)
8,"[np.int64(5), np.int64(8), np.int64(9)]",17,117,10,183,156.4102564102564,6/9 (67%)
3,"[np.int64(0), np.int64(29)]",15,164,14,256,156.09756097560975,7/10 (70%)
3,"[np.int64(0), np.int64(30)]",14,129,11,201,155.8139534883721,7/10 (70%)
8,"[np.int64(6), np.int64(11), np.int64(30)]",9,129,11,201,155.8139534883721,6/9 (67%)
8,"[np.int64(1), np.int64(5), np.int64(16)]",29,176,15,274,155.6818181818182,7/9 (78%)
3,"[np.int64(25), np.int64(26)]",0,106,9,164,154.7169811320755,6/10 (60%)
8,"[np.int64(3), np.int64(19), np.int64(24)]",29,165,14,255,154.54545454545453,7/9 (78%)
8,"[np.int64(23), np.int64(32), np.int64(35)]",16,118,10,182,154.23728813559322,7/9 (78%)
8,"[np.int64(7), np.int64(15), np.int64(25)]",33,118,10,182,154.23728813559322,7/10 (70%)
8,"[np.int64(15), np.int64(16), np.int64(20)]",23,189,16,291,153.96825396825398,8/9 (89%)
8,"[np.int64(14), np.int64(31), np.int64(37)]",0,178,15,272,152.80898876404493,7/9 (78%)
8,"[np.int64(17), np.int64(31), np.int64(33)]",15,178,15,272,152.80898876404493,7/10 (70%)
8,"[np.int64(9), np.int64(10), np.int64(27)]",23,119,10,181,152.10084033613444,7/9 (78%)
8,"[np.int64(9), np.int64(11), np.int64(27)]",21,131,11,199,151.9083969465649,6/9 (67%)
8,"[np.int64(2), np.int64(8), np.int64(11)]",14,143,12,217,151.74825174825176,7/9 (78%)
8,"[np.int64(4), np.int64(5), np.int64(11)]",15,155,13,235,151.61290322580646,8/9 (89%)
3,"[np.int64(14), np.int64(27)]",30,108,9,162,150.0,6/9 (67%)
3,"[np.int64(9), np.int64(17)]",32,132,11,198,150.0,6/10 (60%)
8,"[np.int64(13), np.int64(14), np.int64(37)]",17,180,15,270,150.0,8/9 (89%)
8,"[np.int64(19), np.int64(20), np.int64(35)]",16,144,12,216,150.0,8/9 (89%)
8,"[np.int64(2), np.int64(6), np.int64(7)]",31,180,15,270,150.0,8/10 (80%)
8,"[np.int64(11), np.int64(18), np.int64(19)]",17,192,16,288,150.0,9/9 (100%)
8,"[np.int64(4), np.int64(13), np.int64(32)]",17,156,13,234,150.0,7/9 (78%)
8,"[np.int64(14), np.int64(26), np.int64(37)]",6,108,9,162,150.0,5/7 (71%)
8,"[np.int64(25), np.int64(34), np.int64(35)]",0,193,16,287,148.70466321243524,8/10 (80%)
8,"[np.int64(6), np.int64(7), np.int64(9)]",31,145,12,215,148.27586206896552,8/10 (80%)
8,"[np.int64(24), np.int64(27), np.int64(37)]",34,121,10,179,147.93388429752065,7/9 (78%)
8,"[np.int64(24), np.int64(27), np.int64(37)]",21,121,10,179,147.93388429752065,6/9 (67%)
8,"[np.int64(7), np.int64(11), np.int64(29)]",6,109,9,161,147.70642201834863,7/10 (70%)
3,"[np.int64(1), np.int64(3)]",18,146,12,214,146.57534246575344,8/9 (89%)
8,"[np.int64(4), np.int64(8), np.int64(20)]",23,146,12,214,146.57534246575344,8/9 (89%)
8,"[np.int64(12), np.int64(30), np.int64(36)]",14,146,12,214,146.57534246575344,8/10 (80%)
8,"[np.int64(6), np.int64(11), np.int64(28)]",19,146,12,214,146.57534246575344,6/8 (75%)
8,"[np.int64(2), np.int64(11), np.int64(25)]",6,134,11,196,146.26865671641792,6/9 (67%)
8,"[np.int64(1), np.int64(16), np.int64(19)]",6,183,15,267,145.9016393442623,7/9 (78%)
8,"[np.int64(2), np.int64(20), np.int64(25)]",6,171,14,249,145.61403508771932,7/10 (70%)
8,"[np.int64(2), np.int64(26), np.int64(29)]",37,110,9,160,145.45454545454547,8/9 (89%)
8,"[np.int64(6), np.int64(13), np.int64(29)]",20,159,13,231,145.2830188679245,6/9 (67%)
8,"[np.int64(1), np.int64(8), np.int64(32)]",33,147,12,213,144.89795918367346,6/9 (67%)
8,"[np.int64(8), np.int64(11), np.int64(31)]",0,147,12,213,144.89795918367346,7/9 (78%)
8,"[np.int64(16), np.int64(18), np.int64(33)]",31,147,12,213,144.89795918367346,7/9 (78%)
8,"[np.int64(3), np.int64(17), np.int64(29)]",31,184,15,266,144.56521739130434,9/9 (100%)
3,"[np.int64(5), np.int64(13)]",14,135,11,195,144.44444444444443,7/9 (78%)
3,"[np.int64(9), np.int64(20)]",23,123,10,177,143.90243902439025,7/9 (78%)
3,"[np.int64(13), np.int64(25)]",20,123,10,177,143.90243902439025,7/10 (70%)
3,"[np.int64(18), np.int64(26)]",33,123,10,177,143.90243902439025,6/10 (60%)
8,"[np.int64(5), np.int64(7), np.int64(23)]",9,123,10,177,143.90243902439025,6/8 (75%)
3,"[np.int64(2), np.int64(4)]",29,111,9,159,143.24324324324326,6/9 (67%)
3,"[np.int64(11), np.int64(25)]",24,111,9,159,143.24324324324326,6/10 (60%)
3,"[np.int64(4), np.int64(28)]",10,111,9,159,143.24324324324326,6/9 (67%)
8,"[np.int64(3), np.int64(17), np.int64(21)]",13,111,9,159,143.24324324324326,6/9 (67%)
8,"[np.int64(5), np.int64(18), np.int64(23)]",0,111,9,159,143.24324324324326,7/9 (78%)
8,"[np.int64(1), np.int64(11), np.int64(33)]",21,148,12,212,143.24324324324326,6/10 (60%)
8,"[np.int64(25), np.int64(29), np.int64(37)]",6,136,11,194,142.64705882352942,8/9 (89%)
8,"[np.int64(17), np.int64(18), np.int64(30)]",34,161,13,229,142.23602484472048,8/10 (80%)
8,"[np.int64(8), np.int64(13), np.int64(29)]",18,124,10,176,141.93548387096774,7/9 (78%)
8,"[np.int64(5), np.int64(12), np.int64(22)]",24,124,10,176,141.93548387096774,6/7 (86%)
8,"[np.int64(1), np.int64(27), np.int64(34)]",23,124,10,176,141.93548387096774,6/10 (60%)
8,"[np.int64(10), np.int64(24), np.int64(30)]",2,149,12,211,141.61073825503357,7/9 (78%)
8,"[np.int64(11), np.int64(18), np.int64(20)]",16,149,12,211,141.61073825503357,6/9 (67%)
8,"[np.int64(20), np.int64(25), np.int64(27)]",23,149,12,211,141.61073825503357,7/9 (78%)
8,"[np.int64(9), np.int64(16), np.int64(29)]",17,174,14,246,141.3793103448276,6/9 (67%)
8,"[np.int64(26), np.int64(29), np.int64(36)]",16,112,9,158,141.07142857142858,6/9 (67%)
8,"[np.int64(0), np.int64(27), np.int64(35)]",8,162,13,228,140.74074074074073,6/10 (60%)
8,"[np.int64(7), np.int64(11), np.int64(21)]",23,125,10,175,140.0,6/9 (67%)
8,"[np.int64(10), np.int64(25), np.int64(29)]",0,175,14,245,140.0,8/8 (100%)
8,"[np.int64(3), np.int64(19), np.int64(25)]",29,125,10,175,140.0,6/9 (67%)
8,"[np.int64(0), np.int64(7), np.int64(34)]",22,150,12,210,140.0,8/9 (89%)
8,"[np.int64(13), np.int64(14), np.int64(16)]",10,138,11,192,139.1304347826087,7/9 (78%)
8,"[np.int64(3), np.int64(14), np.int64(22)]",29,138,11,192,139.1304347826087,7/9 (78%)
8,"[np.int64(14), np.int64(20), np.int64(25)]",23,138,11,192,139.1304347826087,7/9 (78%)
